date,time,city,weekday,temp,weather_code,is_bad_for_outdoor
2026-03-30,21,Южная Озереевка,понедельник,8,дождь,true
2026-03-30,21,Широкая Балка,понедельник,8,дождь,true
2026-03-30,21,Федотовка,понедельник,8,дождь,true
2026-03-31,09,Абрау-Дюрсо,вторник,12,дождь,true
2026-03-31,09,Новороссийск,вторник,14,дождь,true
2026-03-31,09,Мысхако,вторник,14,дождь,true
2026-03-31,09,Южная Озереевка,вторник,12,дождь,true
2026-03-31,09,Широкая Балка,вторник,12,дождь,true
2026-03-31,09,Федотовка,вторник,12,дождь,true
2026-03-31,21,Абрау-Дюрсо,вторник,7,ясно,true
2026-03-31,21,Новороссийск,вторник,7,ясно,true
2026-03-31,21,Мысхако,вторник,7,ясно,true
2026-03-31,21,Южная Озереевка,вторник,7,ясно,true
2026-03-31,21,Широкая Балка,вторник,7,ясно,true
2026-03-31,21,Федотовка,вторник,7,ясно,true
